,0,1
0,a moderate amount of hate,amaoh
1,another day in hell,adih
2,as far as i know,afaik
3,as soon as possible,asap
4,at the moment,atm
5,as fuck,af
6,away from keyboard,afk
7,be right back,brb
8,before anyone else,bae
9,boyfriend,bf
10,best friend forever,bff
11,by the way,btw
12,bye for now,bfn
13,chicks,chx
14,christmas,xmas
15,chuckling for all to hear,cfath
16,for the win,ftw
17,for your information,fyi
18,get the fuck out,gtfo
19,girlfriend,gf
20,good game,gg
21,haha,hh
22,how i feel when,hifw
23,i ain't coming back,iacb
24,i don't care,idc
25,i don't know,idk
26,i feel your pain,ifyp
27,i hate you,ih8u
28,i have no idea,ihni
29,"i know, right?",ikr
30,i know,ik
31,i miss you,imy
32,in real life,irl
33,in my honest opinion,imho
34,in my opinion,imo
35,just kidding,jk
36,just so you know,jsyk
37,keeping parents clueless,kps
38,laugh my ass off,lmao
39,laughing out loud,lol
40,my face when,mfw
41,my reaction when,mrw
42,message,msg
43,no problem,np
44,oh my gosh,omg
45,on the way,otw
46,original poster,op
47,parent behind back,pbb
48,parent in the room,pitr
49,parent over my shoulder,poms
50,parent at home,pah
51,please,plz
52,really,rly
53,said nice out loud,snol
54,shaking my head,smh
55,sealed with a kiss,swak
56,see you,c u
57,shut the fuck up,stfu
58,sleeping,zzz
59,so much,sm
60,so what's your problem?,swyp
61,stop what you're doing,swyd
62,such a laugh,sal
63,talk to you later,ttyl
64,thank you so much,tysm
65,thanks,thx
66,that feel when,tfw 
67,that makes sense,tms
68,thinking of you,tou
69,trying not to laugh,tntl
70,to be announced,tba
71,you're on your own,yoyo
72,you only live once,yolo
73,your,ur
74,you're welcome,yw
75,very,hella
76,what are you doing,wyd
77,what do you mean by that,wdum
78,where are you at,wya
79,whatever,whatevs
80,wish you were here,wywh
81,what the hell,wth
82,what the fuck,wtf
83,works for me,wfm 
84,be,b
85,okay,k
86,because,bcs
87,because,bc
88,hugs and kisses,hak
89,hugs and kisses,xoxo
90,i love you,ilu
91,i love you,ily
92,loving the weather today,ltwt
93,loving the weather today,lwt
94,loving the weather today,lw
95,rolling on the floor laughing,rofl
96,rolling on the floor laughing,rotfl
97,thank you,thx
98,thank you,tu
99,thank you,ty
100,thanks,thnx
101,thanks,thx
102,too long didn't read,tl;dr
103,too long didn't read,tldr
104,too long didn't read,tl
105,with,w
106,without,wo
107,why,y
108,see ,c
109,your,ur
110,before,b4
111,tomorrow,2mro
112,tomorrow,2mo
113,tomorrow,tmr
114,tomorrow,tmrw
115,tomorrow,2morro
116,tomorrow,2morrow
117,tomorrow,2morw
118,good night,gn
119,good morning,gm
120,later,l8er
121,are,r
122,you,u
