,sentiment,message,tweetid,text,is_retweet,is_quoted,quoted_text,date_time,retweets,favorites,hashtags,followers,verified,location,coordinate,language
21792,1,"@TJackson432 @RichardDawkins Also, when something has scientific consensus that human influence on climate change h… https://t.co/0STzfH2p5u",869919443459211264,"@TJackson432 @RichardDawkins Also, when something has scientific consensus that human influence on climate change h… https://t.co/0STzfH2p5u",False,False,,2017-05-31 14:12:12,0,0,[],312,False,UK,,en
21793,1,"RT @Mikel_Jollett: The Entire Scientific Establishment: Save the planet from global warming!

Some Random Reality TV Show Host: nah.",869922348014632960,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21794,1,"RT @mmfa: In short, the media's climate change coverage is a disaster of historical proportions. https://t.co/etot6d9WC2",869923376630042624,"RT @mmfa: In short, the media's climate change coverage is a disaster of historical proportions. https://t.co/etot6d9WC2",True,False,,2017-05-31 14:27:50,97,157,[],409313,True,"Washington, DC",,en
21795,-1,RT @USS_Armageddon: https://t.co/GhjLehYyuA Good. It's a scam anyway. The anthropogenic hypothesis of global warming (which is now called c…,869925572729856000,RT @USS_Armageddon: https://t.co/GhjLehYyuA Good. It's a scam anyway. The anthropogenic hypothesis of global warming (which is now called c…,True,False,,2017-05-31 14:36:33,1,1,[],19,False,Nowhere. Everywhere.,,en
21796,1,RT @wckd_nwt: the fact that teenagers are more educated on the subject of climate change than the potus is honestly terrifying #ParisAgree…,869926596278398976,RT @wckd_nwt: the fact that teenagers are more educated on the subject of climate change than the potus is honestly terrifying  #ParisAgree…,True,False,,2017-05-31 14:40:37,1,2,"[{'text': 'ParisAgreement', 'indices': [114, 129]}]",1241,False,४,,en
21797,2,"Tackling climate change will boost economic growth, OECD says https://t.co/p0sIYbiuyX",869930714183151616,"Tackling climate change will boost economic growth, OECD says https://t.co/p0sIYbiuyX",False,False,,2017-05-31 14:56:59,0,0,[],13,False,Virginia,,en
21798,0,@GingerConstruct Wasn't she and her husband supposed to save the world by focusing on climate change with her father?,869931731662512128,@GingerConstruct Wasn't she and her husband supposed to save the world by focusing on climate change with her father?,False,False,,2017-05-31 15:01:02,0,1,[],949,False,,,en
21799,1,@realDonaldTrump Congratulations on escalating the real threat that is global warming. You might not care but some… https://t.co/ABaFAk2oiW,869933939753865216,@realDonaldTrump Congratulations on escalating the real threat that is global warming. You might not care but some… https://t.co/ABaFAk2oiW,False,False,,2017-05-31 15:09:48,0,0,[],191,False,,,en
21800,2,RT @motherboard: New simulations predict the United States' coming climate change mass migration: https://t.co/DkxlOtgNlk https://t.co/pY4J…,869934960982892545,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21801,1,RT @PeteButtigieg: Last year's flood disaster was likely South Bend's first serious taste of climate change. More will come. Pulling out of…,869936051544096768,RT @PeteButtigieg: Last year's flood disaster was likely South Bend's first serious taste of climate change. More will come. Pulling out of…,True,False,,2017-05-31 15:18:11,98,471,[],1585228,True,"South Bend, Indiana",,en
21802,1,RT @RogueSNRadvisor: Pres is a total moron when it comes to climate change (and in general). Says polar bears 'will just turn brown' if Arc…,869938899824640001,"RT @RogueSNRadvisor: Pres is a total moron when it comes to climate change (and in general). Says polar bears ""will just turn brown"" if Arc…",True,False,,2017-05-31 15:29:31,1234,2244,[],208610,False,Hot Take City,,en
21803,2,RT @SecretsBedard: Trump chooses Mitch McConnell over Ivanka on Paris climate change deal https://t.co/GfTJOsv9Js via @dcexaminer,869941055227129856,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21804,1,RT @c40cities: US Mayors are committed to urgent and impactful action on climate change! #Cities4Climate #ParisAgreement https://t.co/qMep5…,869942067782221824,RT @c40cities: US Mayors are committed to urgent and impactful action on climate change! #Cities4Climate #ParisAgreement https://t.co/qMep5…,True,False,,2017-05-31 15:42:06,37,32,"[{'text': 'Cities4Climate', 'indices': [74, 89]}, {'text': 'ParisAgreement', 'indices': [90, 105]}]",95705,True,Global,,en
21805,1,"RT @RealFedCo: The first question to ask isn't 'Is climate change real?'
It's 'Does the federal gov have the power to regulate it?'
https:/…",869944240222109697,"RT @RealFedCo: The first question to ask isn't ""Is climate change real?""
It's ""Does the federal gov have the power to regulate it?""
https:/…",True,False,,2017-05-31 15:50:44,10,9,[],1587,False,United States,,en
21806,1,RT @Dorofcalif: GOP congressman: God will 'take care of' climate change if it exists https://t.co/K1NjJzZue8 via @HuffPostPolYO I HAVE SOME…,869945219227299840,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21807,1,"RT @LivingBlueinRed: Gee a bunch of 70 year old rich white guys aren't worried about climate change and the fate of the planet. 
Go figure.",869947211760766976,"RT @LivingBlueinRed: Gee a bunch of 70 year old rich white guys aren't worried about climate change and the fate of the planet. 
Go figure.",True,False,,2017-05-31 16:02:32,143,318,[],13800,False,United States,,en
21808,2,"RT @CollinEatonHC: In advisory vote, 62.3% of Exxon shareholders voted for $XOM to publish report on climate change impact on value of oil…",869950349246963713,"RT @CollinEatonHC: In advisory vote, 62.3% of Exxon shareholders voted for $XOM to publish report on climate change impact on value of oil…",True,False,,2017-05-31 16:15:00,2,3,[],9942,True,"Houston, TX",,en
21809,1,RT @LibDems: Why isn’t Theresa May challenging Trump on climate change? The future of the planet depends on it. https://t.co/RKcbiYPHXl,869958403032047616,RT @LibDems: Why isn’t Theresa May challenging Trump on climate change? The future of the planet depends on it. https://t.co/RKcbiYPHXl,True,False,,2017-05-31 16:47:00,230,276,[],323282,True,United Kingdom,,en
21810,-1,"Without global warming no need for global taxes to fight it.
No taxes no World wide gov!

https://t.co/hlKFLeHwWF... https://t.co/l2eqbkZKmO",869958428776476672,"Without global warming no need for global taxes to fight it.
No taxes no World wide gov!

https://t.co/hlKFLeHwWF... https://t.co/l2eqbkZKmO",False,False,,2017-05-31 16:47:07,1,2,[],14669,False,"Florida, USA or Idaho",,en
21811,1,RT @RogueSNRadvisor: Pres' stance on climate change will go down as the worst aspect of his presidency - and that's saying something. Disgr…,869961539947827200,RT @RogueSNRadvisor: Pres' stance on climate change will go down as the worst aspect of his presidency - and that's saying something. Disgr…,True,False,,2017-05-31 16:59:28,938,2815,[],208610,False,Hot Take City,,en
21812,1,RT @washingtonpost: Opinions: Another deadly consequence of climate change: The spread of dangerous diseases https://t.co/enXD0TYSzP,869962512497729536,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21813,-1,"@thehill Dear Anti-Semitic #UnitedNations,
If #CO2 causes 'climate change' then OUTLAW petroleum.… https://t.co/as31ari4A7",869974197476278273,"@thehill Dear Anti-Semitic #UnitedNations,
If #CO2 causes ""climate change"" then OUTLAW petroleum.… https://t.co/as31ari4A7",False,False,,2017-05-31 17:49:46,1,0,"[{'text': 'UnitedNations', 'indices': [27, 41]}, {'text': 'CO2', 'indices': [46, 50]}]",10854,False,ΜΟΛΩΝ ΛΑΒΕ,,en
21814,1,"RT @paulkrugman: As the probability of civilization-ending climate change rises, a special shout-out to all those who helped make it possib…",869975151558787074,"RT @paulkrugman: As the probability of civilization-ending climate change rises, a special shout-out to all those who helped make it possib…",True,False,,2017-05-31 17:53:34,751,1713,[],4551872,True,New York City,,en
21815,1,"@climatebrad @elonmusk Musk prioritizes NewSpace over environment - look at him fundraise for climate change deniers
https://t.co/0QZs4nzVUD",869977248585072640,"@climatebrad @elonmusk Musk prioritizes NewSpace over environment - look at him fundraise for climate change deniers
https://t.co/0QZs4nzVUD",False,False,,2017-05-31 18:01:54,0,0,[],223,False,"Goat Hill, California",,en
21816,0,"RT @elimeixler: .@AJEnglish appears to have taken down a heinously anti-Semitic tweet about climate change denial. 
Cuz deleting me…",869983833747324928,"RT @elimeixler: .@AJEnglish appears to have taken down a heinously anti-Semitic tweet about climate change denial. 
Cuz deleting means it's…",True,False,,2017-05-31 18:28:04,314,326,[],2730,False,Hong Kong,,en
21817,-1,@RobertWoodham2 @EcoSexuality @peter_upfield @peidays306 @realDonaldTrump Very true - we have to get out - global warming is a hoax -,869984920441159680,@RobertWoodham2 @EcoSexuality @peter_upfield @peidays306 @realDonaldTrump Very true - we have to get out - global warming  is a hoax -,False,False,,2017-05-31 18:32:23,0,0,[],2799,False,Florida,,en
21818,-1,"RT @hboulware: To be clear, if you lecture me about the dangers of climate change and then deny a human fetus is human I’m going to mock yo…",869984930054393856,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21819,2,RT @HuffPostPol: GOP congressman: God will 'take care of' climate change if it exists https://t.co/qOAc21tu1I https://t.co/Op3ISrm6H1,869989460187860992,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21820,1,"RT @mattmfm: Trump doesn't believe in climate change, is taking health coverage from 24M people, and under FBI investigation, but sure, foc…",869991748335837185,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21821,1,"RT @ciarakellydoc: Definition of #covfefe ?
= massive distraction from US pulling out of Paris climate change agreement",869993863942995970,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21822,1,RT @UNDPasiapac: Afghan farmer are suffering the impacts of climate change. The Ministry of Agriculture &amp; UNDP are helping them adap…,869999002288357376,RT @UNDPasiapac: Afghan farmer are suffering the impacts of climate change. The Ministry of Agriculture &amp; UNDP are helping them adapt https…,True,False,,2017-05-31 19:28:20,2,4,[],33652,True,"Bangkok, Thailand",,en
21823,2,RT @TIMEPolitics: Republican congressman says God will 'take care of' climate change https://t.co/NyPvaAqIBJ via @mahitagajanan,869999055664947200,"RT @TIMEPolitics: Republican congressman says God will ""take care of"" climate change https://t.co/NyPvaAqIBJ via @mahitagajanan",True,False,,2017-05-31 19:28:33,97,69,[],49887,True,,,en
21824,2,RT @TIME: Republican congressman says God will 'take care of' climate change https://t.co/MUZ11hw7Dy,870000129331175424,"RT @TIME: Republican congressman says God will ""take care of"" climate change https://t.co/MUZ11hw7Dy",True,False,,2017-05-31 19:32:49,168,177,[],16531520,True,,,en
21825,2,RT @USATODAY: Elon Musk: I'm out of Trump council if Paris climate change deal dies https://t.co/9FCmlPp0di https://t.co/N5QfMdrC2U,870001248337928193,RT @USATODAY: Elon Musk: I'm out of Trump council if Paris climate change deal dies https://t.co/9FCmlPp0di https://t.co/N5QfMdrC2U,True,False,,2017-05-31 19:37:16,144,249,[],3954439,True,"USA TODAY HQ, McLean, Va.",,en
21826,0,Not a single mention of China inventing climate change. Fake news!!! #BBCDebate #LeadersDebate,870002363637092362,Not a single mention of China inventing climate change. Fake news!!! #BBCDebate #LeadersDebate,False,False,,2017-05-31 19:41:42,0,0,"[{'text': 'BBCDebate', 'indices': [69, 79]}, {'text': 'LeadersDebate', 'indices': [80, 94]}]",75,False,,,en
21827,0,"RT @Peston: Is anyone going to defend Trump withdrawal from Paris Accord on climate change? Ah yes, @paulnuttallukip",870003585626648582,"RT @Peston: Is anyone going to defend Trump withdrawal from Paris Accord on climate change? Ah yes, @paulnuttallukip",True,False,,2017-05-31 19:46:33,212,442,[],1038227,True,,,en
21828,0,RT @Wokieleaksalt: This is being completely misinterpreted. They were pointing out *other peoples'* climate change conspiracy theorie…,870003594321313792,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21829,1,"RT @make5calls: OPPOSE THE US WITHDRAWAL FROM THE #PARISAGREEMENT -- We must join the global fight against climate change ������
☎️:…",870003606052884480,"RT @make5calls: OPPOSE THE US WITHDRAWAL FROM THE #PARISAGREEMENT -- We must join the global fight against climate change 🌿🌍🌄
☎️: https://t…",True,False,,2017-05-31 19:46:38,249,221,"[{'text': 'PARISAGREEMENT', 'indices': [34, 49]}]",33322,True,,,en
21830,1,"RT @RonaldKlain: As Trump decides on Paris, @BrianCDeese &amp; I team up in @washingtonpost to warn about climate change and epidemics: https:…",870004832827985920,"RT @RonaldKlain: As Trump decides on Paris, @BrianCDeese &amp; I team up in  @washingtonpost to warn about climate change and epidemics: https:…",True,False,,2017-05-31 19:51:30,633,668,[],109005,True,"Washington, DC",,en
21831,-1,RT @mitchellvii: Isn't it ironic that every single 'solution' to climate change reads like a laundry list of Liberal priorities? Funny coi…,870008227337052160,"RT @mitchellvii: Isn't it ironic that every single ""solution"" to climate change reads like a laundry list of Liberal priorities?  Funny coi…",True,False,,2017-05-31 20:05:00,868,1634,[],508223,True,"Miami, FL",,en
21832,1,Mr. Trump @realDonaldTrump: you may not believe in climate change but your insurance company does. Be a businessman,870009465407406080,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21833,1,"RT @ossoff: If we walk away from our #ParisAgreement commitments to reduce carbon emissions &amp; help fight climate change, histor…",870009469576634368,"RT @ossoff: If we walk away from our #ParisAgreement commitments to reduce carbon emissions &amp; help fight climate change, history will conde…",True,False,,2017-05-31 20:09:56,5426,10273,"[{'text': 'ParisAgreement', 'indices': [25, 40]}]",113644,True,"Georgia, USA",,en
21834,-1,"RT @MarkYoungTruth: Wow, now Hillary is blaming the DNC? It's only a matter of time before she blames global warming and Bigfoot. Dems…",870009485862944769,"RT @MarkYoungTruth: Wow, now Hillary is blaming the DNC? It's only a matter of time before she blames global warming and Bigfoot. Dems now…",True,False,,2017-05-31 20:10:00,407,826,[],96037,False,"Detroit, MI, Tampa, FL",,en
21835,2,Government scientists say climate change could wipe out U.S. coral reefs in just a few decades. https://t.co/NcQE8Q8qF4,870012688742719488,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21836,0,@StJohnsSE19 climate change comments from #candidates2017 https://t.co/B9z2XxgXoS,870012727128870912,@StJohnsSE19 climate change comments from #candidates2017 https://t.co/B9z2XxgXoS,False,False,,2017-05-31 20:22:52,1,0,"[{'text': 'candidates2017', 'indices': [42, 57]}]",559,False,"London, England",,fr
21837,0,"@shannoncoulter As world leaders fly private jets, limos to talk about climate change... Tell me what verifiable be… https://t.co/xN9K9pz6lU",870021009847402496,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21838,1,@BBCBreaking Not good Mr president. climate change is for real,870032255112138752,@BBCBreaking Not good Mr president. climate change is for real,False,False,,2017-05-31 21:40:28,0,0,[],91,False,Lilongwe,,en
21839,1,@JasonBordoff @StevenMufson Shareholders instruct Exxon to recognise that fighting climate change affects their bus… https://t.co/wBcdyfSaGX,870033336353337344,@JasonBordoff @StevenMufson Shareholders instruct Exxon to recognise that fighting climate change affects their bus… https://t.co/wBcdyfSaGX,False,False,,2017-05-31 21:44:46,0,0,[],238,False,The Delta quadrant.,,en
21840,1,"RT @Agent350: 400,000 deaths a year are linked to climate change. Trump exiting the #ParisAgreement is a humanitarian crisis. https://t.co/…",870033368976691207,"RT @Agent350: 400,000 deaths a year are linked to climate change. Trump exiting the #ParisAgreement is a humanitarian crisis. https://t.co/…",True,False,,2017-05-31 21:44:54,116,104,"[{'text': 'ParisAgreement', 'indices': [70, 85]}]",15947,False,"Salt Lake City, UT",,en
21841,2,RT @FT: China and the EU have forged an alliance to combat climate change to counter any US retreat from the Paris accord…,870036550465335297,RT @FT: China and the EU have forged an alliance to combat climate change to counter any US retreat from the Paris accord https://t.co/Vw00…,True,False,,2017-05-31 21:57:32,53,53,[],3811866,True,London,,en
21842,1,"RT @la__dee__da: If you live in Miami and don't believe in climate change, there's something wrong with you. (Cough cough @tedcruz)",870038552276545536,"RT @la__dee__da: If you live in Miami and don't believe in climate change, there's something wrong with you. (Cough cough @tedcruz)",True,False,,2017-05-31 22:05:30,4,0,[],417,False,718 to 305,,en
21843,1,RT @janosrauhler: climate change is legit a problem why does no one take it seriously,870040631611207681,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21844,0,"@Diplomat655 @WiserThanIWasB4 @LuEleison @elusivemoby Actually made it for the climate change video they made.
Frie… https://t.co/ECfITk1FPo",870047331873411073,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21845,1,@senronjohnson - from a voter in your district: please consider Carbon Fee and Dividend to address #climate change. @citizensclimate,870047365356453891,@senronjohnson  - from a voter in your district: please consider Carbon Fee and Dividend to address #climate change. @citizensclimate,False,False,,2017-05-31 22:40:31,0,0,"[{'text': 'climate', 'indices': [100, 108]}]",0,False,,,en
21846,1,"RT @antonioguterres: I call on world leaders, business &amp; civil society to take ambitious action on climate change. https://t.co/wl19gZYecm",870049580485836800,"RT @antonioguterres: I call on world leaders, business &amp; civil society to take ambitious action on climate change. https://t.co/wl19gZYecm",True,False,,2017-05-31 22:49:19,1385,1847,[],723919,True,,,en
21847,1,@CMSH1969 @JohnKasich The 'deal' is about how the entire world is effected by climate change. It's unfortunate that… https://t.co/qUFqffl9KF,870050844573548544,@CMSH1969 @JohnKasich The 'deal' is about how the entire world is effected by climate change. It's unfortunate that… https://t.co/qUFqffl9KF,False,False,,2017-05-31 22:54:20,0,0,[],272,False,,,en
21848,0,"RT @IvanVos1: Britney combined global warming and Lady Gaga into one tweet, WHEN WILL YOUR FAVE?",870051880113754112,"RT @IvanVos1: Britney combined global warming and Lady Gaga into one tweet, WHEN WILL YOUR FAVE?",True,False,,2017-05-31 22:58:27,1,0,[],2602,False,"Cape Town, South Africa",,en
21849,2,"Shareholders force ExxonMobil to come clean on cost of climate change
Fμ©€ Trump &amp; RexTillerson
https://t.co/qiKZ5cZlab",870061664774889474,"Shareholders force ExxonMobil to come clean on cost of climate change
Fμ©€ Trump &amp; RexTillerson
https://t.co/qiKZ5cZlab",False,False,,2017-05-31 23:37:20,0,0,[],8,False,"New York, NY",,en
21850,1,RT @MarkRuffalo: Existential threat! U.S. needs to accelerate growth in green jobs by treating climate change like the crisis of WWII https…,870065854553128960,RT @MarkRuffalo: Existential threat! U.S. needs to accelerate growth in green jobs by treating climate change like the crisis of WWII https…,True,False,,2017-05-31 23:53:59,312,740,[],6346476,True,NYS,,en
21851,1,Way to go Blackrock! Financial firms lead shareholder against Exxon Mobile and their climate change policies! https://t.co/h0KlhENvAX,870066942761160705,n,n,n,n,n,-999,-999,n,-999,-999,n,-999.0,n
21852,1,"@MarkHertling @barbarastarrcnn @CNNPolitics Person associates climate change agreement with Obama, hence, it must g… https://t.co/MQiuyHDTzt",870069167029972992,"@MarkHertling @barbarastarrcnn @CNNPolitics Person associates climate change agreement with Obama, hence, it must g… https://t.co/MQiuyHDTzt",False,False,,2017-06-01 00:07:09,0,0,[],507,False,"Florida, USA",,en
